,COUNTRY,C_ALPHAN,TRDBR,MNC,TRDPR,AUTO,IOPWR,GLBCTZ,IMMCRM,IMMGOOD,IMMJOB,IMMNEWCUL,IMMBADCUL,IMMEQURIGHT,IMMEXCLUDED,IMMEDU,IMMNUM,SEX,BIRTH,AGE,EDUCYRS,DEGREE,WORK,WRKHRS,EMPREL,NEMPLOY,WRKSUP,NSUP,TYPORG1,TYPORG2,ISCO88,MAINSTAT,PARTLIV,SPWORK,SPWRKHRS,SPEMPREL,SPWRKSUP,SPISCO88,SPMAINST,UNION,TOPBOT,VOTE_LE,BE_PRTY,CH_PRTY,CZ_PRTY,DE_PRTY,DK_PRTY,EE_PRTY,ES_PRTY,FI_PRTY,FR_PRTY,GB_PRTY,GE_PRTY,HR_PRTY,HU_PRTY,IE_PRTY,IL_PRTY,IN_PRTY,IS_PRTY,JP_PRTY,KR_PRTY,LT_PRTY,LV_PRTY,MX_PRTY,NO_PRTY,PH_PRTY,PT_PRTY,RU_PRTY,SE_PRTY,SI_PRTY,SK_PRTY,TR_PRTY,TW_PRTY,US_PRTY,ZA_PRTY,PARTY_LR,HHCHILDR,HHTODD,HOMPOP,US_INC,ZA_INC,MARITAL,URBRURAL,CASEID,names,UNEMP,TRAINEE,hhinc,inc_st
267,840,US,1,2,2,3,4,4,4,3,3,2,2,4,2,2,5,2,1958,56,20,6,1,40,1,0,1,0,NA,1,2310,1,1,1,40,1,0,3417,1,0,7,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,6,990,4,1,0,3,160000,NA,1,1,2.01308E+14,United States,0,0,160000,2.24833735
268,840,US,3,2,2,2,3,2,3,3,2,2,2,4,2,2,5,2,1996,18,12,3,1,60,1,0,2,0,NA,2,5141,1,3,NA,0,0,0,NA,0,0,6,0,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,990,0,0,0,3,160000,NA,6,2,2.01308E+14,United States,0,0,160000,2.24833735
269,840,US,3,3,2,2,4,4,3,3,4,3,3,5,1,2,NA,2,1952,62,15,4,1,40,1,0,1,0,NA,2,4115,1,1,2,0,1,0,7243,6,3,5,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,6,990,4,0,0,2,55000,NA,1,5,2.01308E+14,United States,0,0,55000,0
270,840,US,2,2,2,3,2,5,2,4,1,4,2,2,1,2,4,2,1944,70,12,3,2,0,1,0,0,0,NA,2,8263,7,3,NA,0,0,0,NA,0,3,7,2,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,990,0,1,0,3,23750,NA,5,5,2.01308E+14,United States,0,0,23750,0.669148021
271,840,US,5,NA,1,NA,NA,2,5,1,4,1,2,1,NA,1,NA,2,1931,83,20,6,2,0,2,0,0,0,NA,2,2451,2,1,2,0,2,0,2221,6,3,8,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,0,0,2,67500,NA,1,2,2.01308E+14,United States,1,0,67500,0.267659208
272,840,US,3,1,3,3,4,2,3,1,5,2,4,3,3,1,3,1,1948,66,16,5,1,20,1,0,1,0,NA,2,7412,1,3,NA,0,0,0,NA,0,3,6,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,0,0,1,67500,NA,5,2,2.01308E+14,United States,0,0,67500,0.267659208
273,840,US,4,3,2,3,3,3,1,4,1,2,1,2,1,2,5,1,1984,30,12,3,1,40,1,0,2,0,NA,2,5122,1,3,NA,0,0,0,NA,0,3,7,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,0,0,4,140000,NA,6,2,2.01308E+14,United States,0,0,140000,1.820082617
274,840,US,2,4,2,5,1,5,2,2,3,4,5,4,1,2,4,2,1943,71,14,3,2,0,1,0,0,0,NA,2,3231,6,3,NA,0,0,0,NA,0,3,8,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,6,990,4,0,0,1,23750,NA,6,2,2.01308E+14,United States,0,0,23750,0.669148021
275,840,US,3,2,2,3,2,4,3,4,4,NA,2,4,2,2,4,2,1934,80,18,6,2,0,1,0,0,0,NA,1,2411,6,3,NA,0,0,0,NA,0,3,6,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,0,0,3,140000,NA,5,2,2.01308E+14,United States,0,0,140000,1.820082617
276,840,US,2,2,2,4,3,4,4,4,4,2,4,2,1,1,NA,2,1940,74,17,5,2,0,1,0,0,0,NA,1,2340,6,1,2,0,1,0,2411,6,1,8,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,6,990,4,0,0,2,1.00E+05,NA,1,2,2.01308E+14,United States,0,0,1.00E+05,0.96357315
